external_id,source_portal,source_url,title,description,offer_type,price,area,rooms,floor,year_built,has_elevator,is_accessible,location,address,district_id,noise_db_min,noise_db_max
67944704,otodom,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-srodmiescie-bezposrednio-ID4B5vk,4 pokojowe mieszkanie | Śródmieście | BEZPOŚREDNIO,,rent,8300,98.96,FOUR,,,,,,pomorskie,,,
67900830,otodom,https://www.otodom.pl/pl/oferta/apartament-matemblewska-44-ID4AU6G,Apartament Matemblewska 44,,rent,3900,91.4,THREE,,,,,,pomorskie,,,
67978098,otodom,https://www.otodom.pl/pl/oferta/osiedle-zamkniete-1-6km-od-morza-fitness-sauna-ID4BecV,"Osiedle zamknięte | 1,6km od morza |fitness|sauna|",,rent,3200,42,TWO,,,,,,pomorskie,,,
67977944,otodom,https://www.otodom.pl/pl/oferta/lawendowe-wzgorze-2-pokoje-balkon-parking-ID4Beas,"Lawendowe Wzgórze, 2 pokoje, balkon, parking",,rent,2650,44,TWO,,,,,,pomorskie,,,
66599091,otodom,https://www.otodom.pl/pl/oferta/wyjatkowy-piekny-apartament-rajska-garaz-lux-ID4wrsT,Wyjątkowy Piękny Apartament Rajska garaż Lux,,rent,5500,78.2,THREE,,,,,,pomorskie,,,
67976471,otodom,https://www.otodom.pl/pl/oferta/serce-gdanska-2-pokoje-miejsce-parkingowe-ID4BdMH,Serce Gdańska | 2 pokoje | miejsce parkingowe,,rent,2700,34.1,TWO,,,,,,pomorskie,,,
67976444,otodom,https://www.otodom.pl/pl/oferta/apartament-108-m-gdansk-letnica-ID4BdMg,"Apartament 108 m² | Gdańsk, Letnica.",,rent,6300,108,TWO,,,,,,pomorskie,,,
67975338,otodom,https://www.otodom.pl/pl/oferta/oldnova-wygodny-apartament-stare-miasto-ID4Bduq,OldNova - wygodny apartament - Stare Miasto,,rent,2800,47,TWO,,,,,,pomorskie,,,
67975212,otodom,https://www.otodom.pl/pl/oferta/apartament-z-widokiem-na-rzeke-do-wynajecia-ID4Bdso,Apartament  z widokiem na rzekę - Do Wynajęcia!,,rent,3600,48,TWO,,,,,,pomorskie,,,
67975211,otodom,https://www.otodom.pl/pl/oferta/wynajem-premium-brabank-2-pokoje-wanna-ID4Bdsn,"Wynajem Premium | Brabank, 2 pokoje | wanna.",,rent,4500,47.25,TWO,,,,,,pomorskie,,,
67975214,otodom,https://www.otodom.pl/pl/oferta/brabank-komfortowy-apartament-do-wynajecia-ID4Bdsq,Brabank - Komfortowy Apartament - Do Wynajęcia!,,rent,4500,52,TWO,,,,,,pomorskie,,,
67974993,otodom,https://www.otodom.pl/pl/oferta/nowoczesne-54-m-w-centrum-wrzeszcza-balkon-swietna-lokalizacja-ID4BdoR,Nowoczesne 54 m² w centrum Wrzeszcza | balkon | świetna lokalizacja,,rent,3900,54,TWO,,,,,,pomorskie,,,
67974563,otodom,https://www.otodom.pl/pl/oferta/mieszkanie-3-pokoje-osowa-ul-tezeusza-3000zl-ID4BdhW,Mieszkanie 3 Pokoje Osowa ul. Tezeusza  - 3000zł,,rent,3000,72,THREE,,,,,,pomorskie,,,
67974564,otodom,https://www.otodom.pl/pl/oferta/mieszkanie-stare-miasto-ul-garbary-2800zl-ID4BdhV,Mieszkanie Stare Miasto ul. Garbary  - 2800zł,,rent,2800,36,TWO,,,,,,pomorskie,,,
67974511,otodom,https://www.otodom.pl/pl/oferta/2-pokoje-38-35m2-garden-gates-dlugie-ogrody-ID4Bdh5,"2 pokoje, 38,35m2, Garden Gates Długie Ogrody",,rent,3200,37.75,TWO,,,,,,pomorskie,,,
67974485,otodom,https://www.otodom.pl/pl/oferta/nieruchomosc-w-sercu-wrzeszcza-ID4BdgF,Nieruchomość w sercu Wrzeszcza,,rent,6000,76.5,SIX,,,,,,pomorskie,,,
67974416,otodom,https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-z-balkonem-w-gdansku-kokoszki-ID4Bdfy,Dwupokojowe mieszkanie z balkonem w Gdańsku - Kokoszki,,rent,3000,43,TWO,,,,,,pomorskie,,,
67974151,otodom,https://www.otodom.pl/pl/oferta/widok-na-morze-2-balkony-3-pok-letnica-10-pietro-ID4Bdbh,Widok na morze/2 balkony/3 pok./Letnica/10 piętro,,rent,4650,65.78,THREE,,,,,,pomorskie,,,
67726496,otodom,https://www.otodom.pl/pl/oferta/wygodne-3-pokoje-z-mp-w-hali-ID4AaKQ,Wygodne 3 pokoje z MP w hali,,rent,4200,59.5,THREE,,,,,,pomorskie,,,
67973866,otodom,https://www.otodom.pl/pl/oferta/mieszkanie-na-wynajem-ID4Bd6G,Mieszkanie na wynajem,,rent,2400,37.79,TWO,,,,,,pomorskie,,,
67973526,otodom,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-z-loggia-w-garnizonie-gotowe-do-zamieszkania-ID4Bd1c,Mieszkanie 2-pokojowe z loggią w Garnizonie – gotowe do zamieszkania!,,rent,3200,40,TWO,,,,,,pomorskie,,,
67973425,otodom,https://www.otodom.pl/pl/oferta/wynajme-mieszkanie-od-zaraz-morena-ID4BcZz,Wynajmę mieszkanie od zaraz Morena,,rent,2500,30,ONE,,,,,,pomorskie,,,
67878915,otodom,https://www.otodom.pl/pl/oferta/od-czerwca-brabank-widok-na-rzeke-parking-sauna-ID4AOpd,"Od Czerwca Brabank, widok na rzekę, parking, sauna",,rent,5750,72,THREE,,,,,,pomorskie,,,
96798249400067,otodom,https://www.otodom.pl/pl/oferta/prestizowy-apartement-pierwsza-lini-brzegowa-ID4BflQ,Prestiżowy Apartement pierwsza lini Brzegowa,,rent,3200,45,TWO,,,,,,pomorskie,,,
67973374,otodom,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-morelowa-jasien-ID4BcYK,"Mieszkanie 2-pokojowe, Morelowa (Jasień)",,rent,2200,42.5,TWO,,,,,,pomorskie,,,
66418742,otodom,https://www.otodom.pl/pl/oferta/2-pokojowe-matemblewo-morena-niedzwiednik-ID4uGy2,2-pokojowe Matemblewo (morena / niedźwiednik),,rent,2400,50,TWO,,,,,,pomorskie,,,
67952993,otodom,https://www.otodom.pl/pl/oferta/posiadamy-na-wynajem-zupelnie-nowe-2-pokojowe-mie-ID4B7G1,Posiadamy na wynajem zupełnie nowe 2-pokojowe mie,,rent,2500,39,TWO,,,,,,pomorskie,,,
67768576,otodom,https://www.otodom.pl/pl/oferta/gdansk-nowy-apartament-premium-garaz-taras-z-widokiem-30m2-ID4AlHy,Gdańsk nowy apartament premium | garaż | taras z widokiem 30m2,,rent,6490,46.69,TWO,,,,,,pomorskie,,,
67972259,otodom,https://www.otodom.pl/pl/oferta/2-pokoje-stare-miasto-balkon-blisko-skm-od-lipca-ID4BcGL,2 pokoje|Stare Miasto|balkon|blisko SKM|od lipca,,rent,3400,33,TWO,,,,,,pomorskie,,,
67972254,otodom,https://www.otodom.pl/pl/oferta/2-pokoje-osobna-kuchnia-48-m-calorocznie-ID4BcGG,2 pokoje | osobna kuchnia | 48 m² | całorocznie,,rent,3000,48,TWO,,,,,,pomorskie,,,
67972239,otodom,https://www.otodom.pl/pl/oferta/2-pokoje-stare-miasto-46-m-od-zaraz-ID4BcGr,2 pokoje | Stare Miasto | 46 m² | od zaraz,,rent,3200,50,TWO,,,,,,pomorskie,,,
